title,artist,peakPos,lastPos,weeks,rank,date
Please Don't Go,KC And The Sunshine Band,1,2,20,1,1/5/1980
Escape (The Pina Colada Song),Rupert Holmes,1,1,12,2,1/5/1980
Rock With You,Michael Jackson,3,11,10,3,1/5/1980
Send One Your Love,Stevie Wonder,4,4,10,4,1/5/1980
Do That To Me One More Time,Captain & Tennille,5,6,12,5,1/5/1980
Babe,Styx,1,3,14,6,1/5/1980
Still,Commodores,1,5,15,7,1/5/1980
Coward Of The County,Kenny Rogers,8,22,8,8,1/5/1980
Ladies Night,Kool & The Gang,9,9,14,9,1/5/1980
We Don't Talk Anymore,Cliff Richard,10,13,12,10,1/5/1980
Cool Change,Little River Band,11,12,12,11,1/5/1980
Cruisin',Smokey Robinson,12,15,14,12,1/5/1980
The Long Run,Eagles,13,17,5,13,1/5/1980
Head Games,Foreigner,14,14,9,14,1/5/1980
Better Love Next Time,Dr. Hook,15,16,13,15,1/5/1980
Jane,Jefferson Starship,16,18,10,16,1/5/1980
I Wanna Be Your Lover,Prince,17,23,7,17,1/5/1980
This Is It,Kenny Loggins,18,21,12,18,1/5/1980
I Want You Tonight,Pablo Cruise,19,19,13,19,1/5/1980
You're Only Lonely,J.D. Souther,7,7,18,20,1/5/1980
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1,8,12,21,1/5/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,22,25,8,22,1/5/1980
Wait For Me,Daryl Hall John Oates,23,26,11,23,1/5/1980
Don't Let Go,Isaac Hayes,24,28,11,24,1/5/1980
Sara,Fleetwood Mac,25,35,4,25,1/5/1980
Take The Long Way Home,Supertramp,10,10,13,26,1/5/1980
Damned If I Do,The Alan Parsons Project,27,27,15,27,1/5/1980
Third Time Lucky (First Time I Was A Fool),Foghat,28,30,8,28,1/5/1980
Deja Vu,Dionne Warwick,29,34,9,29,1/5/1980
Chiquitita,ABBA,30,31,9,30,1/5/1980
"Yes, I'm Ready",Teri DeSario With K.C.,31,36,8,31,1/5/1980
Pop Muzik,M,1,32,22,32,1/5/1980
Half The Way,Crystal Gayle,15,24,15,33,1/5/1980
Heartache Tonight,Eagles,1,20,14,34,1/5/1980
Romeo's Tune,Steve Forbert,35,48,6,35,1/5/1980
Rotation,Herb Alpert,36,40,8,36,1/5/1980
Rapper's Delight,Sugarhill Gang,37,43,9,37,1/5/1980
"Train, Train",Blackfoot,38,38,12,38,1/5/1980
I'd Rather Leave While I'm In Love,Rita Coolidge,39,44,8,39,1/5/1980
Forever Mine,The O'Jays,40,42,7,40,1/5/1980
Savannah Nights,Tom Johnston,41,45,8,41,1/5/1980
Fool In The Rain,Led Zeppelin,42,64,3,42,1/5/1980
Crazy Little Thing Called Love,Queen,43,58,3,43,1/5/1980
Voices,Cheap Trick,44,56,5,44,1/5/1980
Why Me,Styx,45,65,4,45,1/5/1980
You Know That I Love You,Santana,46,53,7,46,1/5/1980
She's In Love With You,Suzi Quatro,47,51,7,47,1/5/1980
Do You Love What You Feel,Rufus And Chaka Khan,48,54,7,48,1/5/1980
Mistrusted Love,Mistress,49,49,9,49,1/5/1980
Lonely Eyes,Robert John,50,55,5,50,1/5/1980
Lost Her In The Sun,John Stewart,51,59,5,51,1/5/1980
Dig The Gold,Joyce Cobb,52,62,7,52,1/5/1980
Last Train To London,Electric Light Orchestra,53,63,5,53,1/5/1980
September Morn',Neil Diamond,54,66,3,54,1/5/1980
Money,The Flying Lizards,55,60,6,55,1/5/1980
Daydream Believer,Anne Murray,56,67,3,56,1/5/1980
Move Your Boogie Body,Bar-Kays,57,61,5,57,1/5/1980
Wonderland,Commodores,58,68,4,58,1/5/1980
An American Dream,The Dirt Band,59,70,5,59,1/5/1980
Dirty Water,The Inmates,60,69,5,60,1/5/1980
Looks Like Love Again,Dann Rogers,61,71,4,61,1/5/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,62,72,4,62,1/5/1980
Glide,Pleasure,63,73,5,63,1/5/1980
Ships,Barry Manilow,9,29,13,64,1/5/1980
Heartbreaker,Pat Benatar,65,76,3,65,1/5/1980
When I Wanted You,Barry Manilow,66,78,4,66,1/5/1980
Longer,Dan Fogelberg,67,77,4,67,1/5/1980
Stargazer,Peter Brown,68,79,4,68,1/5/1980
I Need A Lover,John Cougar,28,33,13,69,1/5/1980
Memorize Your Number,Leif Garrett,70,80,4,70,1/5/1980
Star,"Earth, Wind & Fire",71,81,3,71,1/5/1980
Can We Still Be Friends,Robert Palmer,72,82,3,72,1/5/1980
99,Toto,73,85,3,73,1/5/1980
The Second Time Around,Shalamar,74,83,5,74,1/5/1980
You're Gonna Get What's Coming,Bonnie Raitt,75,75,5,75,1/5/1980
I Don't Want To Talk About It,Rod Stewart,76,84,3,76,1/5/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,77,86,3,77,1/5/1980
Shooting Star,Dollar,78,88,3,78,1/5/1980
Don't Make Me Over,Jennifer Warnes,79,87,3,79,1/5/1980
Volcano,Jimmy Buffett,80,89,3,80,1/5/1980
I'm Alive,Gamma,81,0,1,81,1/5/1980
Broken Hearted Me,Anne Murray,12,37,16,82,1/5/1980
Flirtin' With Disaster,Molly Hatchet,83,0,1,83,1/5/1980
Video Killed The Radio Star,The Buggles,40,46,9,84,1/5/1980
Make Believe It's Your First Time,Bobby Vinton,85,0,1,85,1/5/1980
Goodnight My Love,Mike Pinera,86,0,1,86,1/5/1980
I Still Have Dreams,Richie Furay,39,39,11,87,1/5/1980
Love Pains,Yvonne Elliman,34,41,13,88,1/5/1980
I Call Your Name,Switch,89,91,10,89,1/5/1980
Let Me Sleep Alone,Cugini,90,90,3,90,1/5/1980
With You I'm Born Again,Billy Preston & Syreeta,91,92,5,91,1/5/1980
Holdin' On For Dear Love,Lobo,92,93,3,92,1/5/1980
Bad Times,Tavares,93,0,1,93,1/5/1980
Since You Been Gone,Rainbow,57,57,8,94,1/5/1980
Rainbow Connection,Kermit (Jim Henson),25,47,17,95,1/5/1980
Rise,Herb Alpert,1,96,24,96,1/5/1980
You Decorated My Life,Kenny Rogers,7,94,18,97,1/5/1980
Dim All The Lights,Donna Summer,2,50,20,98,1/5/1980
TUSK,Fleetwood Mac,8,52,14,99,1/5/1980
Message In A Bottle,The Police,74,74,7,100,1/5/1980
Escape (The Pina Colada Song),Rupert Holmes,1,2,13,1,1/12/1980
Rock With You,Michael Jackson,2,3,11,2,1/12/1980
Do That To Me One More Time,Captain & Tennille,3,5,13,3,1/12/1980
Send One Your Love,Stevie Wonder,4,4,11,4,1/12/1980
Please Don't Go,KC And The Sunshine Band,1,1,21,5,1/12/1980
Still,Commodores,1,7,16,6,1/12/1980
Coward Of The County,Kenny Rogers,7,8,9,7,1/12/1980
Ladies Night,Kool & The Gang,8,9,15,8,1/12/1980
We Don't Talk Anymore,Cliff Richard,9,10,13,9,1/12/1980
Babe,Styx,1,6,15,10,1/12/1980
Cool Change,Little River Band,11,11,13,11,1/12/1980
Cruisin',Smokey Robinson,12,12,15,12,1/12/1980
The Long Run,Eagles,13,13,6,13,1/12/1980
Better Love Next Time,Dr. Hook,14,15,14,14,1/12/1980
Jane,Jefferson Starship,15,16,11,15,1/12/1980
I Wanna Be Your Lover,Prince,16,17,8,16,1/12/1980
This Is It,Kenny Loggins,17,18,13,17,1/12/1980
Head Games,Foreigner,14,14,10,18,1/12/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,19,22,9,19,1/12/1980
Sara,Fleetwood Mac,20,25,5,20,1/12/1980
Wait For Me,Daryl Hall John Oates,21,23,12,21,1/12/1980
Don't Let Go,Isaac Hayes,22,24,12,22,1/12/1980
You're Only Lonely,J.D. Souther,7,20,19,23,1/12/1980
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1,21,13,24,1/12/1980
I Want You Tonight,Pablo Cruise,19,19,14,25,1/12/1980
Third Time Lucky (First Time I Was A Fool),Foghat,26,28,9,26,1/12/1980
Deja Vu,Dionne Warwick,27,29,10,27,1/12/1980
"Yes, I'm Ready",Teri DeSario With K.C.,28,31,9,28,1/12/1980
Chiquitita,ABBA,29,30,10,29,1/12/1980
Crazy Little Thing Called Love,Queen,30,43,4,30,1/12/1980
Romeo's Tune,Steve Forbert,31,35,7,31,1/12/1980
Rotation,Herb Alpert,32,36,9,32,1/12/1980
An American Dream,The Dirt Band,33,59,6,33,1/12/1980
Savannah Nights,Tom Johnston,34,41,9,34,1/12/1980
Take The Long Way Home,Supertramp,10,26,14,35,1/12/1980
Rapper's Delight,Sugarhill Gang,36,37,10,36,1/12/1980
Forever Mine,The O'Jays,37,40,8,37,1/12/1980
I'd Rather Leave While I'm In Love,Rita Coolidge,38,39,9,38,1/12/1980
"Train, Train",Blackfoot,38,38,13,39,1/12/1980
Fool In The Rain,Led Zeppelin,40,42,4,40,1/12/1980
Voices,Cheap Trick,41,44,6,41,1/12/1980
Why Me,Styx,42,45,5,42,1/12/1980
You Know That I Love You,Santana,43,46,8,43,1/12/1980
Do You Love What You Feel,Rufus And Chaka Khan,44,48,8,44,1/12/1980
She's In Love With You,Suzi Quatro,45,47,8,45,1/12/1980
Daydream Believer,Anne Murray,46,56,4,46,1/12/1980
Damned If I Do,The Alan Parsons Project,27,27,16,47,1/12/1980
Lonely Eyes,Robert John,48,50,6,48,1/12/1980
Lost Her In The Sun,John Stewart,49,51,6,49,1/12/1980
Last Train To London,Electric Light Orchestra,50,53,6,50,1/12/1980
September Morn',Neil Diamond,51,54,4,51,1/12/1980
Dig The Gold,Joyce Cobb,52,52,8,52,1/12/1980
Money,The Flying Lizards,53,55,7,53,1/12/1980
Wonderland,Commodores,54,58,5,54,1/12/1980
Longer,Dan Fogelberg,55,67,5,55,1/12/1980
Dirty Water,The Inmates,56,60,6,56,1/12/1980
Move Your Boogie Body,Bar-Kays,57,57,6,57,1/12/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,58,62,5,58,1/12/1980
Pop Muzik,M,1,32,23,59,1/12/1980
Looks Like Love Again,Dann Rogers,60,61,5,60,1/12/1980
When I Wanted You,Barry Manilow,61,66,5,61,1/12/1980
Stargazer,Peter Brown,62,68,5,62,1/12/1980
Glide,Pleasure,63,63,6,63,1/12/1980
Heartbreaker,Pat Benatar,64,65,4,64,1/12/1980
99,Toto,65,73,4,65,1/12/1980
Memorize Your Number,Leif Garrett,66,70,5,66,1/12/1980
The Second Time Around,Shalamar,67,74,6,67,1/12/1980
Star,"Earth, Wind & Fire",68,71,4,68,1/12/1980
I Need A Lover,John Cougar,28,69,14,69,1/12/1980
Can We Still Be Friends,Robert Palmer,70,72,4,70,1/12/1980
I Don't Want To Talk About It,Rod Stewart,71,76,4,71,1/12/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,72,77,4,72,1/12/1980
You're Gonna Get What's Coming,Bonnie Raitt,73,75,6,73,1/12/1980
Volcano,Jimmy Buffett,74,80,4,74,1/12/1980
Shooting Star,Dollar,75,78,4,75,1/12/1980
Flirtin' With Disaster,Molly Hatchet,76,83,2,76,1/12/1980
Don't Make Me Over,Jennifer Warnes,77,79,4,77,1/12/1980
Make Believe It's Your First Time,Bobby Vinton,78,85,2,78,1/12/1980
Goodnight My Love,Mike Pinera,79,86,2,79,1/12/1980
I'm Alive,Gamma,80,81,2,80,1/12/1980
Too Late,Journey,81,0,1,81,1/12/1980
"Let Me Go, Love",Nicolette Larson & Michael McDonald,82,0,1,82,1/12/1980
Video Killed The Radio Star,The Buggles,40,84,10,83,1/12/1980
Remember (Walking In The Sand),Aerosmith,84,0,1,84,1/12/1980
Half The Way,Crystal Gayle,15,33,16,85,1/12/1980
On The Radio,Donna Summer,86,0,1,86,1/12/1980
I Call Your Name,Switch,87,89,11,87,1/12/1980
Let Me Sleep Alone,Cugini,88,90,4,88,1/12/1980
Holdin' On For Dear Love,Lobo,89,92,4,89,1/12/1980
Kiss Me In The Rain,Barbra Streisand,90,0,1,90,1/12/1980
With You I'm Born Again,Billy Preston & Syreeta,91,91,6,91,1/12/1980
Broken Hearted Me,Anne Murray,12,82,17,92,1/12/1980
Trust Me,Cindy Bullens,93,0,1,93,1/12/1980
Rise,Herb Alpert,1,96,25,94,1/12/1980
Bad Times,Tavares,93,93,2,95,1/12/1980
Takin' It Back,Breathless,96,0,1,96,1/12/1980
TUSK,Fleetwood Mac,8,99,15,97,1/12/1980
Dim All The Lights,Donna Summer,2,98,21,98,1/12/1980
Heartache Tonight,Eagles,1,34,15,99,1/12/1980
Ships,Barry Manilow,9,64,14,100,1/12/1980
Rock With You,Michael Jackson,1,2,12,1,1/19/1980
Do That To Me One More Time,Captain & Tennille,2,3,14,2,1/19/1980
Escape (The Pina Colada Song),Rupert Holmes,1,1,14,3,1/19/1980
Coward Of The County,Kenny Rogers,4,7,10,4,1/19/1980
Send One Your Love,Stevie Wonder,4,4,12,5,1/19/1980
Cruisin',Smokey Robinson,6,12,16,6,1/19/1980
We Don't Talk Anymore,Cliff Richard,7,9,14,7,1/19/1980
Ladies Night,Kool & The Gang,8,8,16,8,1/19/1980
Please Don't Go,KC And The Sunshine Band,1,5,22,9,1/19/1980
Cool Change,Little River Band,10,11,14,10,1/19/1980
The Long Run,Eagles,11,13,7,11,1/19/1980
Better Love Next Time,Dr. Hook,12,14,15,12,1/19/1980
I Wanna Be Your Lover,Prince,13,16,9,13,1/19/1980
Jane,Jefferson Starship,14,15,12,14,1/19/1980
Sara,Fleetwood Mac,15,20,6,15,1/19/1980
This Is It,Kenny Loggins,16,17,14,16,1/19/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,17,19,10,17,1/19/1980
Crazy Little Thing Called Love,Queen,18,30,5,18,1/19/1980
Wait For Me,Daryl Hall John Oates,19,21,13,19,1/19/1980
Don't Let Go,Isaac Hayes,20,22,13,20,1/19/1980
Deja Vu,Dionne Warwick,21,27,11,21,1/19/1980
Still,Commodores,1,6,17,22,1/19/1980
Babe,Styx,1,10,16,23,1/19/1980
"Yes, I'm Ready",Teri DeSario With K.C.,24,28,10,24,1/19/1980
Romeo's Tune,Steve Forbert,25,31,8,25,1/19/1980
Third Time Lucky (First Time I Was A Fool),Foghat,26,26,10,26,1/19/1980
Head Games,Foreigner,14,18,11,27,1/19/1980
Daydream Believer,Anne Murray,28,46,5,28,1/19/1980
An American Dream,The Dirt Band,29,33,7,29,1/19/1980
Rotation,Herb Alpert,30,32,10,30,1/19/1980
Fool In The Rain,Led Zeppelin,31,40,5,31,1/19/1980
Why Me,Styx,32,42,6,32,1/19/1980
Forever Mine,The O'Jays,33,37,9,33,1/19/1980
Savannah Nights,Tom Johnston,34,34,10,34,1/19/1980
Longer,Dan Fogelberg,35,55,6,35,1/19/1980
You Know That I Love You,Santana,36,43,9,36,1/19/1980
Voices,Cheap Trick,37,41,7,37,1/19/1980
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1,24,14,38,1/19/1980
September Morn',Neil Diamond,39,51,5,39,1/19/1980
Do You Love What You Feel,Rufus And Chaka Khan,40,44,9,40,1/19/1980
She's In Love With You,Suzi Quatro,41,45,9,41,1/19/1980
Wonderland,Commodores,42,54,6,42,1/19/1980
Lost Her In The Sun,John Stewart,43,49,7,43,1/19/1980
Last Train To London,Electric Light Orchestra,44,50,7,44,1/19/1980
Dig The Gold,Joyce Cobb,45,52,9,45,1/19/1980
Lonely Eyes,Robert John,46,48,7,46,1/19/1980
You're Only Lonely,J.D. Souther,7,23,20,47,1/19/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,48,58,6,48,1/19/1980
On The Radio,Donna Summer,49,86,2,49,1/19/1980
Money,The Flying Lizards,50,53,8,50,1/19/1980
Dirty Water,The Inmates,51,56,7,51,1/19/1980
Looks Like Love Again,Dann Rogers,52,60,6,52,1/19/1980
When I Wanted You,Barry Manilow,53,61,6,53,1/19/1980
Heartbreaker,Pat Benatar,54,64,5,54,1/19/1980
99,Toto,55,65,5,55,1/19/1980
The Second Time Around,Shalamar,56,67,7,56,1/19/1980
I Don't Want To Talk About It,Rod Stewart,57,71,5,57,1/19/1980
I Want You Tonight,Pablo Cruise,19,25,15,58,1/19/1980
Stargazer,Peter Brown,59,62,6,59,1/19/1980
Glide,Pleasure,60,63,7,60,1/19/1980
Can We Still Be Friends,Robert Palmer,61,70,5,61,1/19/1980
Memorize Your Number,Leif Garrett,62,66,6,62,1/19/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,63,72,5,63,1/19/1980
Star,"Earth, Wind & Fire",64,68,5,64,1/19/1980
Chiquitita,ABBA,29,29,11,65,1/19/1980
Volcano,Jimmy Buffett,66,74,5,66,1/19/1980
Don't Make Me Over,Jennifer Warnes,67,77,5,67,1/19/1980
Flirtin' With Disaster,Molly Hatchet,68,76,3,68,1/19/1980
"Let Me Go, Love",Nicolette Larson & Michael McDonald,69,82,2,69,1/19/1980
I'm Alive,Gamma,70,80,3,70,1/19/1980
Too Late,Journey,71,81,2,71,1/19/1980
Him,Rupert Holmes,72,0,1,72,1/19/1980
Remember (Walking In The Sand),Aerosmith,73,84,2,73,1/19/1980
Shooting Star,Dollar,74,75,5,74,1/19/1980
Goodnight My Love,Mike Pinera,75,79,3,75,1/19/1980
Too Hot,Kool & The Gang,76,0,1,76,1/19/1980
Another Brick In The Wall (Part II),Pink Floyd,77,0,1,77,1/19/1980
Make Believe It's Your First Time,Bobby Vinton,78,78,3,78,1/19/1980
Kiss Me In The Rain,Barbra Streisand,79,90,2,79,1/19/1980
When A Man Loves A Woman,Bette Midler,80,0,1,80,1/19/1980
I Thank You,ZZ Top,81,0,1,81,1/19/1980
Bad Times,Tavares,82,95,3,82,1/19/1980
I Wish I Was Eighteen Again,George Burns,83,0,1,83,1/19/1980
Holdin' On For Dear Love,Lobo,84,89,5,84,1/19/1980
Got To Love Somebody,Sister Sledge,85,0,1,85,1/19/1980
I Call Your Name,Switch,86,87,12,86,1/19/1980
Back On My Feet Again,The Babys,87,0,1,87,1/19/1980
With You I'm Born Again,Billy Preston & Syreeta,88,91,7,88,1/19/1980
Give It All You Got,Chuck Mangione,89,0,1,89,1/19/1980
I Pledge My Love,Peaches & Herb,90,0,1,90,1/19/1980
Trust Me,Cindy Bullens,91,93,2,91,1/19/1980
Takin' It Back,Breathless,92,96,2,92,1/19/1980
I Don't Want To Be Lonely,Dana Valery,93,0,1,93,1/19/1980
Take The Long Way Home,Supertramp,10,35,15,94,1/19/1980
Rapper's Delight,Sugarhill Gang,36,36,11,95,1/19/1980
I'd Rather Leave While I'm In Love,Rita Coolidge,38,38,10,96,1/19/1980
Damned If I Do,The Alan Parsons Project,27,47,17,97,1/19/1980
Move Your Boogie Body,Bar-Kays,57,57,7,98,1/19/1980
"Train, Train",Blackfoot,38,39,14,99,1/19/1980
Pop Muzik,M,1,59,24,100,1/19/1980
Rock With You,Michael Jackson,1,1,13,1,1/26/1980
Do That To Me One More Time,Captain & Tennille,2,2,15,2,1/26/1980
Coward Of The County,Kenny Rogers,3,4,11,3,1/26/1980
Escape (The Pina Colada Song),Rupert Holmes,1,3,15,4,1/26/1980
Cruisin',Smokey Robinson,5,6,17,5,1/26/1980
Send One Your Love,Stevie Wonder,4,5,13,6,1/26/1980
We Don't Talk Anymore,Cliff Richard,7,7,15,7,1/26/1980
Crazy Little Thing Called Love,Queen,8,18,6,8,1/26/1980
The Long Run,Eagles,9,11,8,9,1/26/1980
Sara,Fleetwood Mac,10,15,7,10,1/26/1980
I Wanna Be Your Lover,Prince,11,13,10,11,1/26/1980
Better Love Next Time,Dr. Hook,12,12,16,12,1/26/1980
Ladies Night,Kool & The Gang,8,8,17,13,1/26/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,14,17,11,14,1/26/1980
This Is It,Kenny Loggins,15,16,15,15,1/26/1980
"Yes, I'm Ready",Teri DeSario With K.C.,16,24,11,16,1/26/1980
Deja Vu,Dionne Warwick,17,21,12,17,1/26/1980
Wait For Me,Daryl Hall John Oates,18,19,14,18,1/26/1980
Don't Let Go,Isaac Hayes,19,20,14,19,1/26/1980
Please Don't Go,KC And The Sunshine Band,1,9,23,20,1/26/1980
Romeo's Tune,Steve Forbert,21,25,9,21,1/26/1980
Daydream Believer,Anne Murray,22,28,6,22,1/26/1980
Third Time Lucky (First Time I Was A Fool),Foghat,23,26,11,23,1/26/1980
An American Dream,The Dirt Band,24,29,8,24,1/26/1980
Longer,Dan Fogelberg,25,35,7,25,1/26/1980
Fool In The Rain,Led Zeppelin,26,31,6,26,1/26/1980
Why Me,Styx,27,32,7,27,1/26/1980
Jane,Jefferson Starship,14,14,13,28,1/26/1980
Forever Mine,The O'Jays,29,33,10,29,1/26/1980
Rotation,Herb Alpert,30,30,11,30,1/26/1980
September Morn',Neil Diamond,31,39,6,31,1/26/1980
Cool Change,Little River Band,10,10,15,32,1/26/1980
Voices,Cheap Trick,33,37,8,33,1/26/1980
Do You Love What You Feel,Rufus And Chaka Khan,34,40,10,34,1/26/1980
On The Radio,Donna Summer,35,49,3,35,1/26/1980
You Know That I Love You,Santana,36,36,10,36,1/26/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,37,48,7,37,1/26/1980
Wonderland,Commodores,38,42,7,38,1/26/1980
Lost Her In The Sun,John Stewart,39,43,8,39,1/26/1980
Last Train To London,Electric Light Orchestra,40,44,8,40,1/26/1980
She's In Love With You,Suzi Quatro,41,41,10,41,1/26/1980
Lonely Eyes,Robert John,42,46,8,42,1/26/1980
Dig The Gold,Joyce Cobb,43,45,10,43,1/26/1980
Desire,Andy Gibb,44,0,1,44,1/26/1980
The Second Time Around,Shalamar,45,56,8,45,1/26/1980
When I Wanted You,Barry Manilow,46,53,7,46,1/26/1980
Looks Like Love Again,Dann Rogers,47,52,7,47,1/26/1980
Heartbreaker,Pat Benatar,48,54,6,48,1/26/1980
99,Toto,49,55,6,49,1/26/1980
Babe,Styx,1,23,17,50,1/26/1980
Dirty Water,The Inmates,51,51,8,51,1/26/1980
I Don't Want To Talk About It,Rod Stewart,52,57,6,52,1/26/1980
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer,53,63,6,53,1/26/1980
Can We Still Be Friends,Robert Palmer,54,61,6,54,1/26/1980
Glide,Pleasure,55,60,8,55,1/26/1980
Him,Rupert Holmes,56,72,2,56,1/26/1980
Still,Commodores,1,22,18,57,1/26/1980
Head Games,Foreigner,14,27,12,58,1/26/1980
"Let Me Go, Love",Nicolette Larson & Michael McDonald,59,69,3,59,1/26/1980
Memorize Your Number,Leif Garrett,60,62,7,60,1/26/1980
Flirtin' With Disaster,Molly Hatchet,61,68,4,61,1/26/1980
I'm Alive,Gamma,62,70,4,62,1/26/1980
Refugee,Tom Petty And The Heartbreakers,63,0,1,63,1/26/1980
Another Brick In The Wall (Part II),Pink Floyd,64,77,2,64,1/26/1980
Too Hot,Kool & The Gang,65,76,2,65,1/26/1980
Volcano,Jimmy Buffett,66,66,6,66,1/26/1980
Don't Make Me Over,Jennifer Warnes,67,67,6,67,1/26/1980
When A Man Loves A Woman,Bette Midler,68,80,2,68,1/26/1980
Kiss Me In The Rain,Barbra Streisand,69,79,3,69,1/26/1980
Too Late,Journey,70,71,3,70,1/26/1980
Remember (Walking In The Sand),Aerosmith,71,73,3,71,1/26/1980
I Thank You,ZZ Top,72,81,2,72,1/26/1980
Bad Times,Tavares,73,82,4,73,1/26/1980
Goodnight My Love,Mike Pinera,74,75,4,74,1/26/1980
Holdin' On For Dear Love,Lobo,75,84,6,75,1/26/1980
Got To Love Somebody,Sister Sledge,76,85,2,76,1/26/1980
Back On My Feet Again,The Babys,77,87,2,77,1/26/1980
With You I'm Born Again,Billy Preston & Syreeta,78,88,8,78,1/26/1980
Give It All You Got,Chuck Mangione,79,89,2,79,1/26/1980
I Pledge My Love,Peaches & Herb,80,90,2,80,1/26/1980
I Wish I Was Eighteen Again,George Burns,81,83,2,81,1/26/1980
Three Times In Love,Tommy James,82,0,1,82,1/26/1980
I Call Your Name,Switch,83,86,13,83,1/26/1980
Savannah Nights,Tom Johnston,34,34,11,84,1/26/1980
Stargazer,Peter Brown,59,59,7,85,1/26/1980
Haven't You Heard,Patrice Rushen,86,0,1,86,1/26/1980
Shooting Star,Dollar,74,74,6,87,1/26/1980
You Might Need Somebody,Turley Richards,88,0,1,88,1/26/1980
Special Lady,"Ray, Goodman & Brown",89,0,1,89,1/26/1980
Trust Me,Cindy Bullens,90,91,3,90,1/26/1980
I Don't Want To Be Lonely,Dana Valery,91,93,2,91,1/26/1980
Takin' It Back,Breathless,92,92,3,92,1/26/1980
Money,The Flying Lizards,50,50,9,93,1/26/1980
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1,38,15,94,1/26/1980
You're Only Lonely,J.D. Souther,7,47,21,95,1/26/1980
Star,"Earth, Wind & Fire",64,64,6,96,1/26/1980
I Want You Tonight,Pablo Cruise,19,58,16,97,1/26/1980
Make Believe It's Your First Time,Bobby Vinton,78,78,4,98,1/26/1980
Chiquitita,ABBA,29,65,12,99,1/26/1980
Rapper's Delight,Sugarhill Gang,36,95,12,100,1/26/1980
Rock With You,Michael Jackson,1,1,14,1,2/2/1980
Do That To Me One More Time,Captain & Tennille,2,2,16,2,2/2/1980
Coward Of The County,Kenny Rogers,3,3,12,3,2/2/1980
Cruisin',Smokey Robinson,4,5,18,4,2/2/1980
Crazy Little Thing Called Love,Queen,5,8,7,5,2/2/1980
Escape (The Pina Colada Song),Rupert Holmes,1,4,16,6,2/2/1980
Sara,Fleetwood Mac,7,10,8,7,2/2/1980
The Long Run,Eagles,8,9,9,8,2/2/1980
"Yes, I'm Ready",Teri DeSario With K.C.,9,16,12,9,2/2/1980
Don't Do Me Like That,Tom Petty And The Heartbreakers,10,14,12,10,2/2/1980
I Wanna Be Your Lover,Prince,11,11,11,11,2/2/1980
This Is It,Kenny Loggins,12,15,16,12,2/2/1980
We Don't Talk Anymore,Cliff Richard,7,7,16,13,2/2/1980
Send One Your Love,Stevie Wonder,4,6,14,14,2/2/1980
Deja Vu,Dionne Warwick,15,17,13,15,2/2/1980
On The Radio,Donna Summer,16,35,4,16,2/2/1980
Longer,Dan Fogelberg,17,25,8,17,2/2/1980
Don't Let Go,Isaac Hayes,18,19,15,18,2/2/1980
Romeo's Tune,Steve Forbert,19,21,10,19,2/2/1980
Daydream Believer,Anne Murray,20,22,7,20,2/2/1980
An American Dream,The Dirt Band,21,24,9,21,2/2/1980
Desire,Andy Gibb,22,44,2,22,2/2/1980
Third Time Lucky (First Time I Was A Fool),Foghat,23,23,12,23,2/2/1980
Fool In The Rain,Led Zeppelin,24,26,7,24,2/2/1980
September Morn',Neil Diamond,25,31,7,25,2/2/1980
Wait For Me,Daryl Hall John Oates,18,18,15,26,2/2/1980
Why Me,Styx,27,27,8,27,2/2/1980
Forever Mine,The O'Jays,28,29,11,28,2/2/1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,29,37,8,29,2/2/1980
Do You Love What You Feel,Rufus And Chaka Khan,30,34,11,30,2/2/1980
Better Love Next Time,Dr. Hook,12,12,17,31,2/2/1980
Voices,Cheap Trick,32,33,9,32,2/2/1980
Cool Change,Little River Band,10,32,16,33,2/2/1980
Wonderland,Commodores,34,38,8,34,2/2/1980
You Know That I Love You,Santana,35,36,11,35,2/2/1980
Lost Her In The Sun,John Stewart,36,39,9,36,2/2/1980
Ladies Night,Kool & The Gang,8,13,18,37,2/2/1980
When I Wanted You,Barry Manilow,38,46,8,38,2/2/1980
Last Train To London,Electric Light Orchestra,39,40,9,39,2/2/1980
The Second Time Around,Shalamar,40,45,9,40,2/2/1980
Lonely Eyes,Robert John,41,42,9,41,2/2/1980
Dig The Gold,Joyce Cobb,42,43,11,42,2/2/1980
